format,group,year,revenue
8 - Track,Tape,1973-01-01,2815.68
8 - Track,Tape,1974-01-01,2848.01
8 - Track,Tape,1975-01-01,2770.41
8 - Track,Tape,1976-01-01,3047.22
8 - Track,Tape,1977-01-01,3421.42
8 - Track,Tape,1978-01-01,3717.22
8 - Track,Tape,1979-01-01,2409.73
8 - Track,Tape,1980-01-01,1635.09
8 - Track,Tape,1981-01-01,880.315082508
8 - Track,Tape,1982-01-01,95.374632124
8 - Track,Tape,1983-01-01,0
8 - Track,Tape,1984-01-01,0
8 - Track,Tape,1985-01-01,0
8 - Track,Tape,1986-01-01,0
8 - Track,Tape,1987-01-01,0
8 - Track,Tape,1988-01-01,0
8 - Track,Tape,1989-01-01,0
8 - Track,Tape,1990-01-01,0
8 - Track,Tape,1991-01-01,0
8 - Track,Tape,1992-01-01,0
8 - Track,Tape,1993-01-01,0
8 - Track,Tape,1994-01-01,0
8 - Track,Tape,1995-01-01,0
8 - Track,Tape,1996-01-01,0
8 - Track,Tape,1997-01-01,0
8 - Track,Tape,1998-01-01,0
8 - Track,Tape,1999-01-01,0
8 - Track,Tape,2000-01-01,0
8 - Track,Tape,2001-01-01,0
8 - Track,Tape,2002-01-01,0
8 - Track,Tape,2003-01-01,0
8 - Track,Tape,2004-01-01,0
8 - Track,Tape,2005-01-01,0
8 - Track,Tape,2006-01-01,0
8 - Track,Tape,2007-01-01,0
8 - Track,Tape,2008-01-01,0
8 - Track,Tape,2009-01-01,0
8 - Track,Tape,2010-01-01,0
8 - Track,Tape,2011-01-01,0
8 - Track,Tape,2012-01-01,0
8 - Track,Tape,2013-01-01,0
8 - Track,Tape,2014-01-01,0
8 - Track,Tape,2015-01-01,0
8 - Track,Tape,2016-01-01,0
8 - Track,Tape,2017-01-01,0
8 - Track,Tape,2018-01-01,0
8 - Track,Tape,2019-01-01,0
CD,Disc,1973-01-01,0
CD,Disc,1974-01-01,0
CD,Disc,1975-01-01,0
CD,Disc,1976-01-01,0
CD,Disc,1977-01-01,0
CD,Disc,1978-01-01,0
CD,Disc,1979-01-01,0
CD,Disc,1980-01-01,0
CD,Disc,1981-01-01,0
CD,Disc,1982-01-01,0
CD,Disc,1983-01-01,44.14960241
CD,Disc,1984-01-01,254.180636189
CD,Disc,1985-01-01,925.449828067
CD,Disc,1986-01-01,2169.59
CD,Disc,1987-01-01,3586.4
CD,Disc,1988-01-01,4516.46
CD,Disc,1989-01-01,5335.19
CD,Disc,1990-01-01,6751.54
CD,Disc,1991-01-01,8142.17
CD,Disc,1992-01-01,9706.04
CD,Disc,1993-01-01,11520.31
CD,Disc,1994-01-01,14601.95
CD,Disc,1995-01-01,15730.96
CD,Disc,1996-01-01,16187.86
CD,Disc,1997-01-01,15793.55
CD,Disc,1998-01-01,17905.4
CD,Disc,1999-01-01,19667.33
CD,Disc,2000-01-01,19618.93
CD,Disc,2001-01-01,18635.68
CD,Disc,2002-01-01,17115.94
CD,Disc,2003-01-01,15607.44
CD,Disc,2004-01-01,15491.68
CD,Disc,2005-01-01,13771.44
CD,Disc,2006-01-01,11885.77
CD,Disc,2007-01-01,9190.7
CD,Disc,2008-01-01,6496.78
CD,Disc,2009-01-01,5146.58
CD,Disc,2010-01-01,3973.86
CD,Disc,2011-01-01,3524.14
CD,Disc,2012-01-01,2767.78
CD,Disc,2013-01-01,2349.53
CD,Disc,2014-01-01,1918.22
CD,Disc,2015-01-01,1558.63
CD,Disc,2016-01-01,1204.5
CD,Disc,2017-01-01,1102.77
CD,Disc,2018-01-01,711.041239463
CD,Disc,2019-01-01,614.509779894
CD Single,Disc,1973-01-01,0
CD Single,Disc,1974-01-01,0
CD Single,Disc,1975-01-01,0
CD Single,Disc,1976-01-01,0
CD Single,Disc,1977-01-01,0
CD Single,Disc,1978-01-01,0
CD Single,Disc,1979-01-01,0
CD Single,Disc,1980-01-01,0
CD Single,Disc,1981-01-01,0
CD Single,Disc,1982-01-01,0
CD Single,Disc,1983-01-01,0
CD Single,Disc,1984-01-01,0
CD Single,Disc,1985-01-01,0
CD Single,Disc,1986-01-01,0
CD Single,Disc,1987-01-01,0
CD Single,Disc,1988-01-01,21.178686391
