Date,Open,High,Low,Close,Volume,Adj Close
2010-10-04,23.63,24.34,23.30,23.53,000,23.53
2010-10-01,22.90,23.67,22.46,22.50,000,22.50
2010-09-30,22.85,24.52,22.39,23.70,000,23.70
2010-09-29,23.14,23.45,22.72,23.25,000,23.25
2010-09-28,22.92,24.28,22.40,22.60,000,22.60
2010-09-27,22.58,22.75,21.97,22.54,000,22.54
2010-09-24,22.61,22.61,21.71,21.71,000,21.71
2010-09-23,23.91,24.06,22.56,23.87,000,23.87
2010-09-22,22.56,23.19,21.91,22.51,000,22.51
2010-09-21,21.54,22.59,21.42,22.35,000,22.35
2010-09-20,22.47,22.58,21.25,21.50,000,21.50
2010-09-17,21.65,22.56,21.63,22.01,000,22.01
2010-09-16,22.65,22.83,21.71,21.72,000,21.72
2010-09-15,22.55,22.80,22.10,22.10,000,22.10
2010-09-14,21.69,21.97,20.85,21.56,000,21.56
2010-09-13,21.06,22.05,20.93,21.21,000,21.21
2010-09-10,22.64,22.87,21.76,21.99,000,21.99
2010-09-09,22.22,23.24,22.14,22.81,000,22.81
2010-09-08,23.51,23.56,22.92,23.25,000,23.25
2010-09-07,22.77,23.94,22.77,23.80,000,23.80
2010-09-03,21.99,22.78,21.24,21.31,000,21.31
2010-09-02,24.23,24.31,23.15,23.19,000,23.19
2010-09-01,25.13,25.13,23.86,23.89,000,23.89
2010-08-31,27.58,27.83,25.93,26.05,000,26.05
2010-08-30,25.88,27.21,25.41,27.21,000,27.21
2010-08-27,26.50,28.11,24.41,24.45,000,24.45
2010-08-26,26.45,27.55,25.86,27.37,000,27.37
2010-08-25,28.30,28.92,26.46,26.70,000,26.70
2010-08-24,27.91,28.77,26.32,27.46,000,27.46
2010-08-23,25.97,25.97,24.62,25.66,000,25.66
2010-08-20,26.73,27.00,25.49,25.49,000,25.49
2010-08-19,24.48,26.78,24.26,26.44,000,26.44
2010-08-18,24.30,25.23,23.40,24.59,000,24.59
2010-08-17,24.72,24.89,23.71,24.33,000,24.33
2010-08-16,27.41,28.10,25.38,26.10,000,26.10
2010-08-13,26.08,26.26,25.45,26.24,000,26.24
2010-08-12,27.21,27.21,25.18,25.73,000,25.73
2010-08-11,24.96,26.10,24.96,25.39,000,25.39
2010-08-10,23.30,24.24,22.17,22.37,000,22.37
2010-08-09,21.85,22.87,21.36,22.14,000,22.14
2010-08-06,23.34,23.89,21.72,21.74,000,21.74
2010-08-05,23.04,23.13,22.07,22.10,000,22.10
2010-08-04,22.69,23.69,22.16,22.21,000,22.21
2010-08-03,22.44,23.06,21.98,22.63,000,22.63
2010-08-02,23.07,23.24,21.74,22.01,000,22.01
2010-07-30,25.47,27.32,23.35,23.50,000,23.50
2010-07-29,23.40,25.54,23.04,24.13,000,24.13
2010-07-28,23.93,24.54,22.24,24.25,000,24.25
2010-07-27,21.89,23.57,21.86,23.19,000,23.19
2010-07-26,24.37,24.61,22.70,22.73,000,22.73
2010-07-23,24.79,25.17,23.32,23.47,000,23.47
2010-07-22,24.37,24.85,23.72,24.63,000,24.63
2010-07-21,23.61,26.63,23.59,25.64,000,25.64
2010-07-20,27.35,27.40,23.79,23.93,000,23.93
2010-07-19,27.02,27.30,25.12,25.97,000,25.97
2010-07-16,25.77,28.16,25.71,26.25,000,26.25
2010-07-15,25.08,27.24,24.74,25.14,000,25.14
2010-07-14,24.61,25.80,24.18,24.89,000,24.89
2010-07-13,23.29,24.57,23.12,24.56,000,24.56
2010-07-12,24.66,25.14,23.53,24.43,000,24.43
2010-07-09,25.35,25.67,24.37,24.98,000,24.98
2010-07-08,26.50,27.42,24.22,25.71,000,25.71
2010-07-07,29.56,29.56,26.84,26.84,000,26.84
2010-07-06,28.82,31.15,27.96,29.65,000,29.65
2010-07-02,31.71,31.88,29.35,30.12,000,30.12
2010-07-01,34.41,37.58,32.72,32.86,000,32.86
2010-06-30,33.95,34.63,31.74,34.54,000,34.54
2010-06-29,31.22,35.39,31.22,34.13,000,34.13
2010-06-28,29.20,29.90,28.47,29.00,000,29.00
2010-06-25,29.64,30.41,28.07,28.53,000,28.53
2010-06-24,27.61,30.27,27.53,29.74,000,29.74
2010-06-23,26.93,28.55,26.54,26.91,000,26.91
2010-06-22,25.14,27.05,24.41,27.05,000,27.05
2010-06-21,22.90,25.64,22.87,24.88,000,24.88
2010-06-18,24.87,24.88,23.30,23.95,000,23.95
2010-06-17,25.59,26.64,25.05,25.05,000,25.05
2010-06-16,26.72,26.72,25.34,25.92,000,25.92
2010-06-15,27.68,27.84,25.68,25.87,000,25.87
2010-06-14,27.94,28.72,26.98,28.58,000,28.58
2010-06-11,31.79,31.79,28.60,28.79,000,28.79
2010-06-10,31.00,31.77,29.69,30.57,000,30.57
2010-06-09,32.33,34.12,30.23,33.73,000,33.73
2010-06-08,36.53,37.38,33.36,33.70,000,33.70
2010-06-07,35.66,36.80,34.43,36.57,000,36.57
2010-06-04,32.93,36.12,31.81,35.48,000,35.48
2010-06-03,29.65,31.20,29.12,29.46,000,29.46
2010-06-02,34.39,34.57,29.94,30.17,000,30.17
2010-06-01,34.87,35.68,31.82,35.54,000,35.54
2010-05-28,30.23,33.30,29.53,32.07,000,32.07
2010-05-27,30.24,31.03,29.54,29.68,000,29.68
2010-05-26,32.54,35.02,29.39,35.02,000,35.02
2010-05-25,43.15,43.74,34.59,34.61,000,34.61
2010-05-24,41.74,41.74,35.57,38.32,000,38.32
2010-05-21,47.66,48.20,38.95,40.10,000,40.10
2010-05-20,41.79,46.37,40.30,45.79,000,45.79
