	1990	1980	1970	1960	1950	1940	1930	1920	1910	1900	1890	1880	1870	1860	1850	1840	1830	1820	1810	1800	1790	"First census"	"significant change since"	"FIPS code"
UNITED STATES	"248,709,873"	"226,545,805"	"203,211,926"	"179,323,175"	"151,325,798"	"132,164,569"	"123,202,624"	"106,021,537"	"92,228,496"	"76,212,168"	"62,979,766"	"50,189,209"	"38,558,371"	"31,443,321"	"23,191,876"	"17,063,353"	"12,860,702"	"9,638,453"	"7,239,881"	"5,308,483"	"3,929,214"	1790	1900	
Alabama	"4,040,587"	"3,893,888"	"3,444,165"	"3,266,740"	"3,061,743"	"2,832,961"	"2,646,248"	"2,348,174"	"2,138,093"	"1,828,697"	"1,513,401"	"1,262,505"	"996,992"	"964,201"	"771,623"	"590,756"	"309,527"	"127,901"	"9,046"	"1,250"	--- 	1800	1820	01
Alaska	"550,043"	"401,851"	"300,382"	"226,167"	"128,643"	"72,524"	"59,278"	"55,036"	"64,356"	"63,592"	"32,052"	"33,426"	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1880	1880	02
Arizona	"3,665,228"	"2,718,215"	"1,770,900"	"1,302,161"	"749,587"	"499,261"	"435,573"	"334,162"	"204,354"	"122,931"	"88,243"	"40,440"	"9,658"	"6,482"	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1860	1870	04
Arkansas	"2,350,725"	"2,286,435"	"1,923,295"	"1,786,272"	"1,909,511"	"1,949,387"	"1,854,482"	"1,752,204"	"1,574,449"	"1,311,564"	"1,128,211"	"802,525"	"484,471"	"435,450"	"209,897"	"97,574"	"30,388"	"14,273"	"1,062"	--- 	--- 	1810	1830	05
California	"29,760,021"	"23,667,902"	"19,953,134"	"15,717,204"	"10,586,223"	"6,907,387"	"5,677,251"	"3,426,861"	"2,377,549"	"1,485,053"	"1,213,398"	"864,694"	"560,247"	"379,994"	"92,597"	--- 	--- 	--- 	--- 	--- 	--- 	1850	1860	06
Colorado	"3,294,394"	"2,889,964"	"2,207,259"	"1,753,947"	"1,325,089"	"1,123,296"	"1,035,791"	"939,629"	"799,024"	"539,700"	"413,249"	"194,327"	"39,864"	"34,277"	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1860	1860	08
Connecticut	"3,287,116"	"3,107,576"	"3,031,709"	"2,535,234"	"2,007,280"	"1,709,242"	"1,606,903"	"1,380,631"	"1,114,756"	"908,420"	"746,258"	"622,700"	"537,454"	"460,147"	"370,792"	"309,978"	"297,675"	"275,248"	"261,942"	"251,002"	"237,946"	1790	1790	09
Delaware	"666,168"	"594,338"	"548,104"	"446,292"	"318,085"	"266,505"	"238,380"	"223,003"	"202,322"	"184,735"	"168,493"	"146,608"	"125,015"	"112,216"	"91,532"	"78,085"	"76,748"	"72,749"	"72,674"	"64,273"	"59,096"	1790	1790	10
District of Columbia	"606,900"	"638,333"	"756,510"	"763,956"	"802,178"	"663,091"	"486,869"	"437,571"	"331,069"	"278,718"	"230,392"	"177,624"	"131,700"	"75,080"	"51,687"	"33,745"	"30,261"	"23,336"	"15,471"	"8,144"	--- 	1800	1800	11
