series,count,rate,date
35181,680,6.5,2010-02-01
35181,730,7.2,2010-01-01
35181,609,5.9,2009-12-01
35181,592,5.7,2009-11-01
35181,610,5.9,2009-10-01
35181,636,5.9,2009-09-01
35181,569,5.3,2009-08-01
35181,552,5.2,2009-07-01
35181,472,4.4,2009-06-01
35181,530,5,2009-05-01
35181,488,4.6,2009-04-01
35181,625,5.9,2009-03-01
35181,586,5.7,2009-02-01
35181,659,6.5,2009-01-01
35181,559,5.5,2008-12-01
35181,411,4.1,2008-11-01
35181,396,3.9,2008-10-01
35181,414,3.9,2008-09-01
35181,378,3.5,2008-08-01
35181,345,3.1,2008-07-01
35181,364,3.3,2008-06-01
35181,366,3.4,2008-05-01
35181,338,3.2,2008-04-01
35181,346,3.3,2008-03-01
35181,340,3.2,2008-02-01
35181,338,3.3,2008-01-01
35181,326,3.2,2007-12-01
35181,336,3.2,2007-11-01
35181,338,3.1,2007-10-01
35181,304,2.8,2007-09-01
35181,315,2.9,2007-08-01
35181,324,2.9,2007-07-01
35181,258,2.3,2007-06-01
35181,276,2.5,2007-05-01
35181,240,2.2,2007-04-01
35181,311,2.8,2007-03-01
35181,300,2.8,2007-02-01
35181,376,3.5,2007-01-01
35181,287,2.6,2006-12-01
35181,257,2.3,2006-11-01
35181,275,2.5,2006-10-01
35181,299,2.7,2006-09-01
35181,306,2.7,2006-08-01
35181,291,2.6,2006-07-01
35181,245,2.2,2006-06-01
35181,251,2.3,2006-05-01
35181,334,3.1,2006-04-01
35181,300,2.8,2006-03-01
35181,332,3.1,2006-02-01
35181,341,3.2,2006-01-01
35181,327,3.1,2005-12-01
35181,319,3,2005-11-01
35181,255,2.3,2005-10-01
35181,282,2.6,2005-09-01
35181,249,2.3,2005-08-01
35181,282,2.5,2005-07-01
35181,268,2.4,2005-06-01
35181,299,2.7,2005-05-01
35181,273,2.4,2005-04-01
35181,312,2.9,2005-03-01
35181,363,3.4,2005-02-01
35181,346,3.2,2005-01-01
35181,341,3.2,2004-12-01
35181,353,3.2,2004-11-01
35181,301,2.7,2004-10-01
35181,362,3.3,2004-09-01
35181,324,2.9,2004-08-01
35181,291,2.6,2004-07-01
35181,306,2.8,2004-06-01
35181,287,2.7,2004-05-01
35181,242,2.3,2004-04-01
35181,260,2.5,2004-03-01
35181,260,2.5,2004-02-01
35181,302,2.8,2004-01-01
35181,299,2.8,2003-12-01
35181,308,2.8,2003-11-01
35181,338,3.1,2003-10-01
35181,287,2.6,2003-09-01
35181,302,2.7,2003-08-01
35181,270,2.5,2003-07-01
35181,295,2.7,2003-06-01
35181,271,2.6,2003-05-01
35181,248,2.4,2003-04-01
35181,279,2.7,2003-03-01
35181,304,3,2003-02-01
35181,324,3,2003-01-01
35181,327,3.1,2002-12-01
35181,297,2.8,2002-11-01
35181,275,2.6,2002-10-01
35181,266,2.5,2002-09-01
35181,271,2.6,2002-08-01
35181,249,2.4,2002-07-01
35181,246,2.4,2002-06-01
35181,264,2.6,2002-05-01
35181,255,2.5,2002-04-01
35181,217,2.2,2002-03-01
35181,250,2.6,2002-02-01
35181,263,2.7,2002-01-01
35181,249,2.5,2001-12-01
35181,234,2.3,2001-11-01
35181,247,2.3,2001-10-01
35181,256,2.4,2001-09-01
35181,243,2.3,2001-08-01
35181,191,1.8,2001-07-01
35181,187,1.7,2001-06-01
35181,206,2,2001-05-01
35181,216,2.1,2001-04-01
35181,181,1.7,2001-03-01
35181,209,2,2001-02-01
35181,194,1.9,2001-01-01
35181,178,1.8,2000-12-01
35181,273,2.7,2000-11-01
35181,226,2.2,2000-10-01
35181,213,2,2000-09-01
35181,186,1.7,2000-08-01
35181,222,2.1,2000-07-01
35181,188,1.8,2000-06-01
35181,206,1.9,2000-05-01
35181,218,2,2000-04-01
35181,213,2,2000-03-01
35181,262,2.5,2000-02-01
35181,239,2.3,2000-01-01
35109,285,18.8,2010-02-01
35109,318,21.3,2010-01-01
35109,292,19.7,2009-12-01
35109,180,12.6,2009-11-01
35109,166,11.8,2009-10-01
35109,150,11.1,2009-09-01
35109,195,13.1,2009-08-01
35109,180,12.1,2009-07-01
35109,182,12.3,2009-06-01
35109,136,10,2009-05-01
35109,176,13.5,2009-04-01
35109,241,19,2009-03-01
35109,251,18.8,2009-02-01
35109,245,18.7,2009-01-01
35109,229,17,2008-12-01
35109,119,9.5,2008-11-01
35109,97,7.1,2008-10-01
35109,84,5.8,2008-09-01
35109,111,7.6,2008-08-01
35109,125,8.5,2008-07-01
35109,86,6.1,2008-06-01
35109,94,7.4,2008-05-01
35109,108,8.6,2008-04-01
35109,175,13.2,2008-03-01
35109,135,10.9,2008-02-01
35109,113,9.5,2008-01-01
35109,96,7.5,2007-12-01
35109,80,6.6,2007-11-01
35109,47,4,2007-10-01
35109,53,4.3,2007-09-01
35109,54,4.7,2007-08-01
35109,40,3.1,2007-07-01
35109,59,4.5,2007-06-01
35109,64,5.1,2007-05-01
35109,67,5.7,2007-04-01
35109,123,9.7,2007-03-01
35109,127,9.6,2007-02-01
35109,128,10,2007-01-01
35109,139,10.4,2006-12-01
35109,125,9.6,2006-11-01
35109,77,5.8,2006-10-01
35109,78,5.9,2006-09-01
35109,76,5.3,2006-08-01
35109,55,3.6,2006-07-01
35109,35,2.4,2006-06-01
35109,79,6,2006-05-01
35109,81,6.2,2006-04-01
35109,117,9.8,2006-03-01
35109,139,11.8,2006-02-01
35109,140,11.5,2006-01-01
35109,127,11.1,2005-12-01
35109,118,9.6,2005-11-01
35109,85,6.7,2005-10-01
35109,127,9.5,2005-09-01
35109,100,7.1,2005-08-01
35109,69,4.7,2005-07-01
35109,76,5.2,2005-06-01
35109,66,5.3,2005-05-01
35109,84,6.9,2005-04-01
35109,139,11.8,2005-03-01
35109,107,9.9,2005-02-01
35109,153,13.2,2005-01-01
35109,165,14,2004-12-01
35109,131,10.5,2004-11-01
35109,102,7.7,2004-10-01
35109,88,6.4,2004-09-01
35109,103,7,2004-08-01
35109,140,10,2004-07-01
35109,106,7.6,2004-06-01
35109,99,7.4,2004-05-01
35109,107,8.3,2004-04-01
35109,153,12.7,2004-03-01
35109,168,14.2,2004-02-01
35109,184,15.1,2004-01-01
35109,137,10.9,2003-12-01
35109,148,10.3,2003-11-01
35109,136,8.5,2003-10-01
35109,98,6.2,2003-09-01
35109,173,10.7,2003-08-01
35109,113,8.2,2003-07-01
35109,94,6.9,2003-06-01
35109,133,10.2,2003-05-01
35109,154,12,2003-04-01
35109,161,12.9,2003-03-01
35109,172,14.7,2003-02-01
35109,159,13.2,2003-01-01
35109,120,9.8,2002-12-01
35109,137,11.1,2002-11-01
35109,97,6.6,2002-10-01
35109,92,6.3,2002-09-01
35109,125,9,2002-08-01
35109,114,7.3,2002-07-01
35109,89,6.3,2002-06-01
35109,89,6.8,2002-05-01
35109,151,10.8,2002-04-01
35109,269,19.6,2002-03-01
35109,187,14.8,2002-02-01
35109,195,14.8,2002-01-01
35109,192,15.1,2001-12-01
35109,145,11.6,2001-11-01
35109,118,8.7,2001-10-01
35109,101,7.2,2001-09-01
35109,141,9.3,2001-08-01
35109,113,7.6,2001-07-01
35109,130,9.7,2001-06-01
35109,109,7.7,2001-05-01
35109,140,10.4,2001-04-01
35109,267,19.2,2001-03-01
35109,193,15.1,2001-02-01
35109,188,13.8,2001-01-01
35109,196,13.9,2000-12-01
35109,192,13.3,2000-11-01
35109,113,8,2000-10-01
35109,124,8.2,2000-09-01
35109,110,7,2000-08-01
35109,77,5,2000-07-01
35109,109,6.7,2000-06-01
35109,73,5.1,2000-05-01
35109,135,8.9,2000-04-01
35109,152,10.4,2000-03-01
35109,173,11.5,2000-02-01
35109,154,10.3,2000-01-01
32242,603,9.9,2010-02-01
32242,609,10,2010-01-01
32242,513,8.2,2009-12-01
32242,491,8,2009-11-01
32242,541,8.5,2009-10-01
32242,462,7.1,2009-09-01
32242,528,8.2,2009-08-01
32242,490,7.4,2009-07-01
32242,557,8.4,2009-06-01
32242,476,7.5,2009-05-01
32242,403,6.4,2009-04-01
32242,377,6,2009-03-01
32242,453,7.3,2009-02-01
32242,431,7.1,2009-01-01
32242,367,6.1,2008-12-01
32242,434,7,2008-11-01
32242,334,5.3,2008-10-01
32242,374,5.8,2008-09-01
32242,412,6.3,2008-08-01
32242,352,5.2,2008-07-01
32242,322,5,2008-06-01
32242,275,4.4,2008-05-01
32242,251,4,2008-04-01
32242,283,4.6,2008-03-01
32242,313,5.1,2008-02-01
32242,264,4.4,2008-01-01
32242,235,3.9,2007-12-01
32242,255,4.1,2007-11-01
32242,182,3,2007-10-01
32242,257,4.2,2007-09-01
32242,239,3.8,2007-08-01
32242,243,3.8,2007-07-01
32242,256,4,2007-06-01
32242,242,3.9,2007-05-01
32242,224,3.6,2007-04-01
32242,222,3.7,2007-03-01
32242,257,4.3,2007-02-01
32242,275,4.7,2007-01-01
32242,306,5.2,2006-12-01
32242,306,5,2006-11-01
32242,268,4.4,2006-10-01
32242,310,5,2006-09-01
32242,341,5.3,2006-08-01
32242,305,4.7,2006-07-01
32242,265,4.3,2006-06-01
32242,265,4.2,2006-05-01
32242,266,4.1,2006-04-01
32242,292,4.6,2006-03-01
32242,281,4.4,2006-02-01
32242,308,4.9,2006-01-01
32242,269,4.3,2005-12-01
32242,300,4.9,2005-11-01
32242,319,5,2005-10-01
32242,307,4.9,2005-09-01
32242,306,4.8,2005-08-01
32242,274,4.2,2005-07-01
32242,291,4.6,2005-06-01
32242,314,5,2005-05-01
32242,306,4.9,2005-04-01
32242,308,5,2005-03-01
32242,325,5.3,2005-02-01
32242,290,4.7,2005-01-01
