location,date,vehicles
Von der Heydt,2016-01-04T01:00Z,89
Von der Heydt,2016-01-04T02:00Z,56
Von der Heydt,2016-01-04,163
Von der Heydt,2016-01-04T03:00Z,47
Von der Heydt,2016-01-04T04:00Z,63
Von der Heydt,2016-01-04T05:00Z,228
Von der Heydt,2016-01-04T06:00Z,677
Von der Heydt,2016-01-04T07:00Z,1442
Von der Heydt,2016-01-04T08:00Z,1700
Von der Heydt,2016-01-04T09:00Z,1177
Von der Heydt,2016-01-04T10:00Z,1003
Von der Heydt,2016-01-04T11:00Z,966
Von der Heydt,2016-01-04T12:00Z,1030
Von der Heydt,2016-01-04T16:00Z,1542
Von der Heydt,2016-01-04T17:00Z,1850
Von der Heydt,2016-01-04T18:00Z,1600
Von der Heydt,2016-01-04T19:00Z,1154
Von der Heydt,2016-01-04T20:00Z,814
Von der Heydt,2016-01-04T21:00Z,611
Von der Heydt,2016-01-04T13:00Z,1195
Von der Heydt,2016-01-04T14:00Z,1322
Von der Heydt,2016-01-04T15:00Z,1449
Von der Heydt,2016-01-04T22:00Z,470
Von der Heydt,2016-01-04T23:00Z,446
Von der Heydt,2016-01-05,176
Von der Heydt,2016-01-05T01:00Z,71
Von der Heydt,2016-01-05T02:00Z,71
Von der Heydt,2016-01-05T06:00Z,703
Von der Heydt,2016-01-05T07:00Z,1466
Von der Heydt,2016-01-05T08:00Z,1699
Von der Heydt,2016-01-05T09:00Z,1286
Von der Heydt,2016-01-05T10:00Z,1037
Von der Heydt,2016-01-05T11:00Z,973
Von der Heydt,2016-01-05T12:00Z,1039
Von der Heydt,2016-01-05T13:00Z,1079
Von der Heydt,2016-01-05T14:00Z,1279
Von der Heydt,2016-01-05T15:00Z,1474
Von der Heydt,2016-01-05T16:00Z,1557
Von der Heydt,2016-01-05T17:00Z,1808
Von der Heydt,2016-01-05T18:00Z,1630
Von der Heydt,2016-01-05T19:00Z,1215
Von der Heydt,2016-01-05T20:00Z,822
Von der Heydt,2016-01-05T21:00Z,624
Von der Heydt,2016-01-05T22:00Z,478
Von der Heydt,2016-01-05T23:00Z,519
Von der Heydt,2016-01-05T03:00Z,58
Von der Heydt,2016-01-05T04:00Z,66
Von der Heydt,2016-01-05T05:00Z,212
Von der Heydt,2016-01-06,176
Von der Heydt,2016-01-06T01:00Z,79
Von der Heydt,2016-01-06T02:00Z,67
Von der Heydt,2016-01-06T03:00Z,52
Von der Heydt,2016-01-06T04:00Z,58
Von der Heydt,2016-01-06T08:00Z,1738
Von der Heydt,2016-01-06T09:00Z,1259
Von der Heydt,2016-01-06T10:00Z,1055
Von der Heydt,2016-01-06T11:00Z,1022
Von der Heydt,2016-01-06T12:00Z,1011
Von der Heydt,2016-01-06T13:00Z,1211
Von der Heydt,2016-01-06T14:00Z,1313
Von der Heydt,2016-01-06T15:00Z,1561
Von der Heydt,2016-01-06T16:00Z,1609
Von der Heydt,2016-01-06T17:00Z,1844
Von der Heydt,2016-01-06T18:00Z,1705
Von der Heydt,2016-01-06T19:00Z,1186
Von der Heydt,2016-01-06T20:00Z,819
Von der Heydt,2016-01-06T21:00Z,710
Von der Heydt,2016-01-06T22:00Z,559
