country,gold,silver,bronze
United States,36,38,36
China,51,21,28
Russia,23,21,28
Britain,19,13,15
Australia,14,15,17
Germany,16,10,15
France,7,16,17
South Korea,13,10,8
Italy,8,10,10
Ukraine,7,5,15
Japan,9,6,10
Cuba,2,11,11
Belarus,4,5,10
Spain,5,10,3
Canada,3,9,6
Netherlands,7,5,4
Brazil,3,4,8
Kenya,5,5,4
Kazakhstan,2,4,7
Jamaica,6,3,2
Poland,3,6,1
Hungary,3,5,2
Norway,3,5,2
New Zealand,3,1,5
Romania,4,1,3
Turkey,1,4,3
Ethiopia,4,1,2
Denmark,2,2,3
Azerbaijan,1,2,4
Czech Republic,3,3,0
Slovakia,3,2,1
Georgia,3,0,3
North Korea,2,1,3
Argentina,2,0,4
Switzerland,2,0,4
Uzbekistan,1,2,3
Armenia,0,0,6
Slovenia,1,2,2
Bulgaria,1,1,3
Indonesia,1,1,3
Sweden,0,4,1
Croatia,0,2,3
Lithuania,0,2,3
Mongolia,2,2,0
Thailand,2,2,0
Zimbabwe,1,3,0
Finland,1,1,2
Greece,0,2,2
Nigeria,0,1,3
Taiwan,0,0,4
Mexico,2,0,1
Latvia,1,1,1
India,1,0,2
Austria,0,1,2
Ireland,0,1,2
Serbia,0,1,2
Belgium,1,1,0
Dominican Republic,1,1,0
Estonia,1,1,0
Portugal,1,1,0
Iran,1,0,1
Trinidad and Tobago,0,2,0
Algeria,0,1,1
Bahamas,0,1,1
Colombia,0,1,1
Kyrgyzstan,0,1,1
Morocco,0,1,1
Tajikistan,0,1,1
Bahrain,1,0,0
Cameroon,1,0,0
Panama,1,0,0
Tunisia,1,0,0
Chile,0,1,0
Ecuador,0,1,0
Iceland,0,1,0
Malaysia,0,1,0
Singapore,0,1,0
South Africa,0,1,0
Sudan,0,1,0
Vietnam,0,1,0
Afghanistan,0,0,1
Egypt,0,0,1
Israel,0,0,1
Mauritius,0,0,1
Moldova,0,0,1
Togo,0,0,1
Venezuela,0,0,1
