date,value
1988-01-01,12807
1988-01-02,13336
1988-01-03,14049
1988-01-04,14352
1988-01-05,14136
1988-01-06,14113
1988-01-07,14358
1988-01-08,14152
1988-01-09,12756
1988-01-10,13529
1988-01-11,14542
1988-01-12,14574
1988-01-13,14589
1988-01-14,14561
1988-01-15,14655
1988-01-16,13185
1988-01-17,13618
1988-01-18,14366
1988-01-19,14493
1988-01-20,14421
1988-01-21,14443
1988-01-22,14688
1988-01-23,13154
1988-01-24,13959
1988-01-25,14610
1988-01-26,14506
1988-01-27,14602
1988-01-28,14541
1988-01-29,14698
1988-01-30,13282
1988-01-31,13875
1988-02-01,14395
1988-02-02,14432
1988-02-03,14326
1988-02-04,14332
1988-02-05,14286
1988-02-06,12928
1988-02-07,13664
1988-02-08,14456
1988-02-09,14559
1988-02-10,14404
1988-02-11,14499
1988-02-12,14232
1988-02-13,13002
1988-02-14,13553
1988-02-15,14420
1988-02-16,14606
1988-02-17,14753
1988-02-18,14516
1988-02-19,14435
1988-02-20,13098
1988-02-21,13898
1988-02-22,14694
1988-02-23,14650
1988-02-24,14754
1988-02-25,14800
1988-02-26,14782
1988-02-27,13248
1988-02-28,13990
1988-02-29,14867
1988-03-01,14725
1988-03-02,14633
1988-03-03,14507
1988-03-04,14576
1988-03-05,13161
1988-03-06,13968
1988-03-07,14736
1988-03-08,14742
1988-03-09,14599
1988-03-10,14556
1988-03-11,14633
1988-03-12,13153
1988-03-13,13722
1988-03-14,14683
1988-03-15,14629
1988-03-16,14670
1988-03-17,14552
1988-03-18,14565
1988-03-19,13263
1988-03-20,13862
1988-03-21,14683
1988-03-22,14734
1988-03-23,14613
1988-03-24,14427
1988-03-25,14572
1988-03-26,13202
1988-03-27,13936
1988-03-28,14775
1988-03-29,14648
1988-03-30,14794
1988-03-31,14761
1988-04-01,14650
1988-04-02,13204
1988-04-03,13959
1988-04-04,14720
1988-04-05,14829
1988-04-06,14636
1988-04-07,14719
1988-04-08,14659
1988-04-09,13356
1988-04-10,13964
1988-04-11,14672
1988-04-12,14800
1988-04-13,14638
1988-04-14,14564
1988-04-15,14587
1988-04-16,13151
1988-04-17,13761
1988-04-18,14429
1988-04-19,14376
1988-04-20,14407
1988-04-21,14379
1988-04-22,14403
1988-04-23,12951
1988-04-24,13742
1988-04-25,14528
1988-04-26,14494
1988-04-27,14512
1988-04-28,14566
1988-04-29,14551
1988-04-30,13118
1988-05-01,13670
1988-05-02,14388
1988-05-03,14426
1988-05-04,14485
1988-05-05,14406
1988-05-06,14512
1988-05-07,13163
1988-05-08,13726
1988-05-09,14466
1988-05-10,14518
1988-05-11,14533
1988-05-12,14538
1988-05-13,14591
1988-05-14,13149
1988-05-15,13767
1988-05-16,14434
1988-05-17,14474
1988-05-18,14468
1988-05-19,14409
1988-05-20,14398
1988-05-21,13156
1988-05-22,13739
1988-05-23,14468
1988-05-24,14457
1988-05-25,14506
1988-05-26,14563
1988-05-27,14618
1988-05-28,12499
1988-05-29,12344
1988-05-30,13919
1988-05-31,13126
1988-06-01,14557
1988-06-02,14578
1988-06-03,14651
1988-06-04,13328
1988-06-05,13911
1988-06-06,14614
1988-06-07,14695
1988-06-08,14572
1988-06-09,14504
1988-06-10,14584
1988-06-11,13439
1988-06-12,13980
1988-06-13,14706
1988-06-14,14659
1988-06-15,14607
1988-06-16,14556
1988-06-17,14587
1988-06-18,13424
1988-06-19,14003
1988-06-20,14677
1988-06-21,14695
1988-06-22,14576
1988-06-23,14614
1988-06-24,14756
1988-06-25,13507
1988-06-26,13962
1988-06-27,14761
1988-06-28,14621
1988-06-29,14617
1988-06-30,14558
1988-07-01,14597
1988-07-02,12827
1988-07-03,12140
1988-07-04,13526
1988-07-05,14600
1988-07-06,14666
1988-07-07,14661
1988-07-08,14631
1988-07-09,13503
1988-07-10,13954
1988-07-11,14690
1988-07-12,14626
1988-07-13,14761
1988-07-14,14648
1988-07-15,14677
1988-07-16,13426
1988-07-17,13905
1988-07-18,14599
1988-07-19,14690
1988-07-20,14585
1988-07-21,14636
1988-07-22,14607
1988-07-23,13472
1988-07-24,14066
1988-07-25,14659
1988-07-26,14693
1988-07-27,14668
1988-07-28,14632
1988-07-29,14596
1988-07-30,13404
1988-07-31,13973
1988-08-01,14630
1988-08-02,14590
1988-08-03,14620
1988-08-04,14477
1988-08-05,14608
1988-08-06,13425
1988-08-07,14021
1988-08-08,14625
1988-08-09,14660
1988-08-10,14614
1988-08-11,14538
1988-08-12,14630
1988-08-13,13407
1988-08-14,14010
1988-08-15,14663
1988-08-16,14748
1988-08-17,14582
1988-08-18,14573
1988-08-19,14610
1988-08-20,13464
1988-08-21,14075
1988-08-22,14773
1988-08-23,14679
1988-08-24,14713
1988-08-25,14721
1988-08-26,14685
1988-08-27,13544
1988-08-28,14061
1988-08-29,14684
1988-08-30,14712
1988-08-31,14627
1988-09-01,14587
1988-09-02,14583
1988-09-03,12331
1988-09-04,11763
1988-09-05,13583
1988-09-06,14489
1988-09-07,14644
1988-09-08,14667
1988-09-09,14658
1988-09-10,13240
1988-09-11,13780
1988-09-12,14438
1988-09-13,14600
1988-09-14,14497
1988-09-15,14585
1988-09-16,14437
1988-09-17,13128
1988-09-18,13623
1988-09-19,14455
1988-09-20,14565
1988-09-21,14646
1988-09-22,14545
1988-09-23,14551
1988-09-24,13122
1988-09-25,13840
1988-09-26,14705
1988-09-27,14597
1988-09-28,14607
1988-09-29,14465
1988-09-30,14344
1988-10-01,13167
1988-10-02,13778
1988-10-03,14603
1988-10-04,14600
1988-10-05,14543
1988-10-06,14675
1988-10-07,14643
1988-10-08,13245
1988-10-09,13777
1988-10-10,14660
1988-10-11,14622
1988-10-12,14644
1988-10-13,14599
1988-10-14,14617
1988-10-15,13195
1988-10-16,13833
1988-10-17,14557
1988-10-18,14554
1988-10-19,14623
1988-10-20,14590
1988-10-21,14465
1988-10-22,13248
1988-10-23,13822
1988-10-24,14576
1988-10-25,14636
1988-10-26,14617
1988-10-27,14560
1988-10-28,14487
1988-10-29,13218
1988-10-30,13824
1988-10-31,14692
1988-11-01,14533
1988-11-02,14572
1988-11-03,14606
1988-11-04,14368
1988-11-05,13035
1988-11-06,13765
1988-11-07,14670
1988-11-08,14638
1988-11-09,14557
1988-11-10,14453
1988-11-11,14536
1988-11-12,13171
1988-11-13,13740
1988-11-14,14682
1988-11-15,14632
1988-11-16,14559
1988-11-17,14538
1988-11-18,14484
1988-11-19,12979
1988-11-20,13615
1988-11-21,14603
1988-11-22,14546
1988-11-23,14686
1988-11-24,11489
1988-11-25,11208
1988-11-26,12491
1988-11-27,13814
1988-11-28,14573
1988-11-29,14656
1988-11-30,14662
1988-12-01,14562
1988-12-02,14691
1988-12-03,13337
1988-12-04,13928
1988-12-05,14731
1988-12-06,14713
1988-12-07,14699
1988-12-08,14551
1988-12-09,14532
1988-12-10,13235
1988-12-11,13718
1988-12-12,14466
1988-12-13,14490
1988-12-14,14505
1988-12-15,14440
1988-12-16,14427
1988-12-17,13218
1988-12-18,13785
1988-12-19,14522
1988-12-20,14411
1988-12-21,14538
1988-12-22,14491
1988-12-23,14661
1988-12-24,12774
1988-12-25,12760
1988-12-26,14172
1988-12-27,14256
1988-12-28,14143
1988-12-29,14319
1988-12-30,14402
1988-12-31,12977
1989-01-01,13426
1989-01-02,14351
1989-01-03,14458
1989-01-04,14429
1989-01-05,14499
1989-01-06,14597
